websocket,updates
0,4454
1,4478
2,4468
3,4607
4,4571
5,4529
6,4664
7,4564
8,4521
9,4523
10,4446
11,4635
12,4710
13,4624
14,4727
15,4375
16,4649
17,4308
18,4589
19,4387
20,4579
21,4566
22,4486
23,4425
24,4497
25,4535
26,4484
27,4585
28,4493
29,4576
30,4505
31,4564
32,4496
33,4552
34,4547
35,4641
36,4566
37,4432
38,4489
39,4483
40,4500
41,4687
42,4490
43,4598
44,4480
45,4492
46,4460
47,4407
48,4505
49,4546
50,4382
51,4547
52,4453
53,4635
54,4532
55,4625
56,4497
57,4578
58,4452
59,4583
60,4717
61,4541
62,4565
63,4752
64,4593
65,4503
66,4619
67,4431
68,4478
69,4605
70,4497
71,4511
72,4490
73,4501
74,4523
75,4420
76,4531
77,4749
78,4668
79,4660
80,4664
81,4510
82,4452
83,4580
84,4592
85,4510
86,4588
87,4376
88,4671
89,4613
90,4508
91,4565
92,4595
93,4626
94,4635
95,4473
96,4530
97,4492
98,4751
99,4550
100,4373
101,4586
102,4389
103,4510
104,4627
105,4494
106,4768
107,4703
108,4721
109,4565
110,4546
111,4489
